"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"278","791_67",67,791,104.7300507,31.486623,104.7722805,31.4250537,39
"279","791_791",791,791,104.7300507,31.486623,104.7300507,31.486623,19
"280","800_523",523,800,104.7365807,31.4870832,104.7723748,31.4656126,19
"281","800_67",67,800,104.7365807,31.4870832,104.7722805,31.4250537,18
"282","800_915",915,800,104.7365807,31.4870832,104.7343212,31.4966375,15
"283","800_927",927,800,104.7365807,31.4870832,104.7735466,31.4981568,33
"284","811_291",291,811,104.7519713,31.4875978,104.7321556,31.4547659,19
"285","811_351",351,811,104.7519713,31.4875978,104.6124199,31.4576314,15
"286","811_368",368,811,104.7519713,31.4875978,104.7070146,31.4584759,13
"287","811_389",389,811,104.7519713,31.4875978,104.6219992,31.4592982,11
"288","811_523",523,811,104.7519713,31.4875978,104.7723748,31.4656126,14
"289","811_566",566,811,104.7519713,31.4875978,104.6792753,31.4681151,13
"290","811_578",578,811,104.7519713,31.4875978,104.6596897,31.4688721,12
"291","811_653",653,811,104.7519713,31.4875978,104.6860951,31.4738378,16
"292","811_655",655,811,104.7519713,31.4875978,104.7646589,31.4740551,12
"293","811_67",67,811,104.7519713,31.4875978,104.7722805,31.4250537,12
"294","811_811",811,811,104.7519713,31.4875978,104.7519713,31.4875978,26
"295","811_821",821,811,104.7519713,31.4875978,104.7620381,31.4882639,30
"296","811_927",927,811,104.7519713,31.4875978,104.7735466,31.4981568,37
"297","811_971",971,811,104.7519713,31.4875978,104.772232,31.5061283,27
"298","811_974",974,811,104.7519713,31.4875978,104.7358274,31.5067912,17
"299","836_351",351,836,104.685367,31.4898035,104.6124199,31.4576314,13
"300","836_821",821,836,104.685367,31.4898035,104.7620381,31.4882639,13
"301","836_836",836,836,104.685367,31.4898035,104.685367,31.4898035,11
"302","836_927",927,836,104.685367,31.4898035,104.7735466,31.4981568,31
"303","856_523",523,856,104.7113674,31.4912808,104.7723748,31.4656126,16
"304","856_655",655,856,104.7113674,31.4912808,104.7646589,31.4740551,11
"305","856_788",788,856,104.7113674,31.4912808,104.7656124,31.4863085,15
"306","856_927",927,856,104.7113674,31.4912808,104.7735466,31.4981568,63
"307","881_351",351,881,104.7051823,31.4937412,104.6124199,31.4576314,12
"308","881_389",389,881,104.7051823,31.4937412,104.6219992,31.4592982,14
"309","881_523",523,881,104.7051823,31.4937412,104.7723748,31.4656126,13
"310","881_617",617,881,104.7051823,31.4937412,104.7581004,31.4710907,13
"311","881_881",881,881,104.7051823,31.4937412,104.7051823,31.4937412,15
"312","881_927",927,881,104.7051823,31.4937412,104.7735466,31.4981568,40
"313","899_523",523,899,104.6988677,31.4952719,104.7723748,31.4656126,13
"314","899_617",617,899,104.6988677,31.4952719,104.7581004,31.4710907,11
"315","899_619",619,899,104.6988677,31.4952719,104.7609001,31.4715756,13
